error_rate,response_time,api_failures,user_adoption,cpu_usage,memory_usage,rollout_percentage,action
0.08,173.4,4,66.0,43.7,36.4,50.0,Pause
2.36,191.2,8,75.2,56.1,56.9,25.0,Pause
2.58,311.6,10,48.3,47.7,54.9,75.0,Disable
1.75,121.9,9,39.6,33.7,42.6,50.0,Pause
1.48,151.2,5,19.6,43.3,36.4,10.0,Continue
1.54,239.4,6,89.7,26.0,73.1,50.0,Pause
1.1,92.8,5,82.0,43.4,61.4,50.0,Continue
0.88,122.6,3,59.9,33.1,45.7,25.0,Pause
5.03,346.4,19,8.5,52.0,39.0,75.0,Disable
3.75,309.4,15,9.5,54.8,32.4,10.0,Disable
0.63,209.3,4,78.5,31.1,60.0,25.0,Pause
0.41,132.2,4,6.7,28.5,20.0,10.0,Continue
3.63,228.0,14,26.8,16.5,45.9,50.0,Disable
0.05,50.0,1,70.9,28.6,52.4,10.0,Continue
3.65,317.7,14,86.2,45.0,67.9,50.0,Disable
7.22,427.4,27,44.3,56.5,46.7,10.0,Disable
0.48,123.0,5,51.6,30.8,44.0,75.0,Continue
5.07,308.4,19,75.9,35.6,47.3,100.0,Disable
1.34,226.6,6,15.0,68.4,34.9,50.0,Pause
1.64,201.3,6,40.6,40.2,40.0,100.0,Pause
2.97,351.4,14,32.3,37.8,32.0,50.0,Disable
0.33,56.0,1,85.9,34.9,62.8,50.0,Continue
0.05,168.1,0,90.5,23.8,57.9,25.0,Continue
1.63,172.5,7,54.0,28.3,61.8,25.0,Pause
3.24,286.2,12,78.0,58.5,62.4,10.0,Disable
0.84,66.1,3,25.4,20.2,36.7,100.0,Continue
2.63,240.1,10,34.3,43.9,40.5,25.0,Disable
1.0,193.7,3,10.2,27.9,20.0,50.0,Continue
0.22,50.0,0,49.8,22.3,37.3,25.0,Continue
10.14,705.1,38,64.7,84.3,59.3,10.0,Disable
1.28,271.0,4,71.3,38.1,51.7,100.0,Pause
0.37,154.4,3,64.2,32.4,51.4,25.0,Continue
3.58,224.0,12,11.9,50.7,28.7,10.0,Disable
2.39,110.8,11,74.6,35.3,58.4,75.0,Pause
0.8,148.2,6,63.0,40.3,52.9,25.0,Pause
3.02,239.5,11,71.5,43.2,59.2,50.0,Disable
1.94,218.0,7,30.9,36.6,51.7,75.0,Pause
2.01,183.0,9,81.5,43.8,49.9,75.0,Pause
2.31,265.3,9,85.3,46.0,60.6,10.0,Pause
4.97,411.7,17,90.6,68.2,61.9,100.0,Disable
1.08,188.8,4,5.1,33.6,22.4,100.0,Pause
0.75,77.7,2,17.1,26.1,31.1,100.0,Continue
0.37,50.0,6,75.8,23.6,58.0,25.0,Continue
0.95,224.1,4,23.2,33.3,28.9,25.0,Continue
0.1,57.6,0,39.1,30.3,51.3,75.0,Continue
3.8,304.1,16,91.2,58.3,57.2,10.0,Disable
7.71,593.0,30,59.6,84.6,44.4,50.0,Disable
0.49,50.0,4,29.1,15.0,45.3,100.0,Continue
4.42,484.5,18,84.2,41.2,78.0,25.0,Disable
5.21,398.7,21,5.8,68.0,34.4,25.0,Disable
0.57,233.3,4,61.8,51.8,35.2,10.0,Pause
0.23,176.7,1,58.6,26.2,52.8,75.0,Continue
3.15,383.0,12,62.7,55.9,47.9,10.0,Disable
4.86,508.3,21,53.4,61.7,45.7,100.0,Disable
4.91,352.2,20,77.6,30.6,50.4,25.0,Disable
2.21,292.7,8,50.1,38.3,53.4,100.0,Pause
0.42,260.2,4,7.6,50.6,28.9,100.0,Pause
2.53,297.2,13,62.8,39.6,48.8,10.0,Disable
0.26,50.4,0,87.8,15.0,54.5,75.0,Continue
0.74,185.8,2,93.3,49.5,47.0,25.0,Pause
0.16,280.6,4,34.9,51.7,36.2,100.0,Continue
10.25,667.5,38,71.4,54.8,65.2,50.0,Disable
0.95,129.7,3,37.3,15.2,35.9,100.0,Continue
0.85,178.8,3,11.8,29.6,23.2,10.0,Continue
1.53,156.4,5,40.4,25.4,35.5,50.0,Continue
0.26,112.3,1,58.1,23.3,52.8,25.0,Continue
0.64,141.4,5,58.4,45.9,45.5,25.0,Continue
1.07,76.5,5,75.5,18.0,67.9,50.0,Pause
3.57,346.7,13,75.5,69.8,64.8,50.0,Disable
1.75,187.5,7,44.3,35.2,61.0,100.0,Pause
0.09,127.4,6,62.1,21.5,56.6,25.0,Continue
0.46,204.8,2,65.0,38.1,40.7,75.0,Continue
0.85,158.6,3,61.9,30.9,32.7,75.0,Continue
0.24,168.6,4,64.1,28.0,52.3,10.0,Continue
4.44,379.2,17,77.6,50.9,59.0,25.0,Disable
0.18,145.6,5,45.3,27.6,49.2,100.0,Continue
7.29,471.6,26,5.0,71.6,23.7,75.0,Disable
0.08,50.0,3,22.1,26.7,44.4,75.0,Continue
3.15,488.9,11,57.0,87.0,42.0,100.0,Disable
0.34,186.1,1,73.2,52.5,54.6,25.0,Pause
5.19,479.7,23,43.9,54.6,41.5,100.0,Disable
4.46,445.2,18,27.3,40.8,32.6,100.0,Disable
0.14,71.2,1,54.0,21.9,49.2,75.0,Continue
5.8,547.3,24,8.4,79.0,38.3,50.0,Disable
3.97,328.0,15,37.1,33.3,34.2,10.0,Disable
1.69,162.0,7,6.1,25.7,31.2,10.0,Continue
3.33,315.9,14,87.6,43.3,64.2,100.0,Disable
4.9,552.8,17,23.6,57.9,43.9,75.0,Disable
2.7,389.7,11,27.2,26.1,31.4,10.0,Pause
7.66,520.0,30,88.9,55.1,74.1,100.0,Disable
6.2,505.5,23,32.6,65.1,43.7,100.0,Disable
0.77,199.5,4,52.0,42.3,37.2,25.0,Pause
1.71,170.7,5,46.4,40.4,50.4,10.0,Pause
1.27,197.5,6,82.1,32.3,68.1,100.0,Pause
0.2,158.1,3,46.6,26.7,43.9,100.0,Continue
1.79,315.9,7,32.4,49.7,27.9,25.0,Pause
0.16,50.0,4,65.7,38.2,40.3,10.0,Continue
3.09,355.7,10,30.9,28.4,46.9,25.0,Disable
0.62,133.3,5,21.8,31.3,40.3,50.0,Continue
0.39,189.4,4,6.1,32.8,20.0,50.0,Continue
0.48,77.3,5,78.0,32.7,42.9,10.0,Continue
2.18,190.1,7,43.9,39.9,36.9,10.0,Pause
1.58,157.2,5,72.9,35.1,47.1,50.0,Pause
0.8,131.8,4,52.8,28.7,42.5,75.0,Pause
2.85,312.0,10,64.1,47.0,58.4,75.0,Disable
7.85,453.6,30,28.4,65.7,31.4,10.0,Disable
6.24,414.6,25,11.2,48.7,27.2,75.0,Disable
0.05,50.0,2,43.3,29.5,35.5,10.0,Continue
0.19,205.7,2,80.6,44.6,56.6,10.0,Continue
1.38,160.4,5,28.9,28.2,38.4,100.0,Pause
0.87,195.5,3,38.5,23.7,41.6,75.0,Continue
0.39,110.8,2,91.2,29.8,64.8,50.0,Continue
1.41,168.2,6,17.7,19.5,45.7,10.0,Pause
0.17,259.4,1,45.5,42.6,32.9,50.0,Continue
0.13,50.0,3,47.5,22.1,35.0,50.0,Continue
1.08,177.0,4,60.9,49.5,41.2,10.0,Pause
2.22,259.6,11,65.5,51.1,42.5,100.0,Pause
1.41,196.0,6,54.7,33.5,48.5,50.0,Pause
0.6,50.0,4,65.0,36.0,57.8,75.0,Continue
5.26,359.4,18,51.9,51.9,31.9,100.0,Disable
1.08,143.4,9,64.6,37.5,53.4,25.0,Pause
3.3,338.1,12,36.2,39.1,31.3,25.0,Disable
0.66,140.6,3,73.5,40.2,51.3,25.0,Continue
0.19,126.7,3,44.1,26.0,53.4,10.0,Continue
0.05,50.0,4,59.7,15.0,49.5,100.0,Continue
0.28,114.3,0,30.0,18.5,22.7,25.0,Continue
1.56,251.1,7,85.1,34.7,61.5,10.0,Pause
2.15,278.1,9,75.7,45.7,51.0,25.0,Pause
2.54,294.1,10,5.9,46.3,37.0,75.0,Pause
3.98,304.6,15,90.2,51.1,74.5,25.0,Disable
0.45,143.8,2,25.6,41.0,28.1,10.0,Continue
7.27,498.9,26,46.3,69.3,33.5,100.0,Disable
3.23,259.9,12,79.5,41.0,57.4,10.0,Disable
1.65,212.2,5,90.6,47.0,70.0,100.0,Pause
4.8,399.7,20,22.2,60.1,41.7,75.0,Disable
0.53,163.9,4,67.7,38.5,56.5,25.0,Continue
0.76,152.1,4,68.6,29.8,70.6,50.0,Pause
2.07,219.8,9,76.3,33.9,56.1,25.0,Pause
1.02,156.6,3,43.0,32.7,28.8,75.0,Continue
1.54,113.5,6,86.7,24.7,56.4,25.0,Pause
3.08,234.9,11,72.4,49.4,62.8,100.0,Disable
1.72,179.1,8,59.1,33.0,53.8,50.0,Pause
0.26,61.4,1,19.9,23.3,35.9,50.0,Continue
0.48,67.1,3,66.7,20.1,47.5,10.0,Continue
1.63,93.2,9,39.9,30.6,42.8,100.0,Pause
0.79,88.5,5,61.0,18.8,55.3,10.0,Continue
0.43,92.5,6,63.9,22.7,56.6,10.0,Continue
1.03,134.6,5,92.9,32.1,48.0,75.0,Continue
1.23,186.9,6,65.7,53.2,49.3,100.0,Pause
0.05,50.0,2,13.3,25.4,31.4,100.0,Continue
0.84,153.7,7,9.0,26.6,22.7,100.0,Continue
4.62,354.1,18,9.0,35.8,20.0,100.0,Disable
0.39,177.2,3,24.9,38.1,28.7,10.0,Continue
1.23,163.5,6,16.5,26.2,37.8,25.0,Pause
8.19,666.9,30,77.6,62.6,54.4,50.0,Disable
2.15,149.3,8,69.3,41.2,45.8,75.0,Pause
4.27,420.1,15,80.0,52.3,61.6,25.0,Disable
0.73,184.8,3,21.1,40.8,36.7,100.0,Continue
5.87,365.7,22,28.8,43.8,28.8,75.0,Disable
1.9,295.0,9,90.7,44.2,54.3,50.0,Pause
1.23,170.3,4,23.8,15.0,39.1,75.0,Pause
1.71,248.9,7,70.6,35.9,40.8,10.0,Pause
1.01,257.8,3,23.4,51.9,29.0,50.0,Pause
2.46,219.1,11,33.2,37.8,42.2,25.0,Pause
4.16,471.7,17,42.8,70.2,45.5,100.0,Disable
1.57,243.5,7,76.4,28.9,53.3,75.0,Pause
3.45,321.4,15,58.8,41.1,50.1,10.0,Disable
1.97,167.4,7,69.3,26.5,45.7,50.0,Pause
3.69,233.8,13,5.7,38.3,29.3,100.0,Disable
4.1,512.4,15,22.9,74.5,37.8,25.0,Disable
0.08,218.9,0,14.2,22.8,36.5,10.0,Continue
2.26,152.6,8,9.7,49.0,27.7,25.0,Pause
0.3,164.8,2,38.2,31.2,49.7,25.0,Continue
4.3,382.8,17,23.5,54.8,38.4,75.0,Disable
1.49,190.5,8,16.9,35.4,20.0,10.0,Pause
5.84,393.5,21,52.7,61.3,39.2,25.0,Disable
0.33,93.0,2,31.0,18.8,41.0,100.0,Continue
0.86,191.5,7,36.1,37.8,37.1,50.0,Continue
2.12,232.5,8,41.7,46.2,37.3,25.0,Pause
0.73,96.0,2,87.9,30.7,58.4,50.0,Continue
2.62,278.8,10,60.5,32.7,57.4,10.0,Pause
0.21,194.2,1,90.2,21.0,64.6,10.0,Continue
1.49,204.1,9,41.8,16.0,56.0,50.0,Pause
0.18,50.0,1,68.1,15.0,54.9,10.0,Continue
0.21,118.1,0,5.8,26.1,21.7,75.0,Continue
1.61,153.5,7,69.1,37.4,61.0,50.0,Pause
5.0,547.8,18,26.6,63.0,39.8,100.0,Disable
1.86,195.4,8,70.6,40.4,53.4,10.0,Pause
1.89,244.8,10,50.6,44.1,51.1,75.0,Pause
4.51,494.9,16,66.2,63.4,56.1,50.0,Disable
3.62,278.9,13,54.2,36.9,59.9,75.0,Disable
2.16,260.5,10,61.2,32.5,37.1,100.0,Pause
0.68,183.2,5,58.2,36.7,42.1,25.0,Continue
1.55,188.3,10,59.3,15.0,57.6,25.0,Pause
1.23,213.7,4,48.5,35.9,38.6,25.0,Continue
4.34,301.2,16,80.9,57.9,42.4,100.0,Disable
0.08,50.0,0,8.8,22.1,25.5,50.0,Continue
6.59,539.9,25,29.1,67.1,36.0,50.0,Disable
3.1,230.0,15,5.7,38.5,28.4,50.0,Disable
0.23,146.1,3,10.1,21.1,32.5,25.0,Continue
2.95,270.5,11,92.3,34.2,64.8,75.0,Pause
0.91,203.2,4,22.7,43.6,36.1,25.0,Pause
1.21,236.8,8,70.1,48.5,71.2,10.0,Pause
0.66,62.6,4,74.7,29.4,56.4,50.0,Continue
0.28,135.3,3,22.9,37.7,35.3,75.0,Pause
1.72,265.4,7,7.1,36.5,25.2,10.0,Pause
0.22,184.0,1,57.5,43.5,63.5,50.0,Continue
0.87,50.0,5,11.8,26.7,29.9,50.0,Continue
5.42,428.8,20,53.5,75.4,48.7,50.0,Disable
3.74,345.6,13,40.3,54.3,40.4,10.0,Disable
4.62,494.9,19,93.2,58.2,77.9,10.0,Disable
2.87,220.2,13,19.6,36.2,20.0,25.0,Pause
3.93,328.4,15,17.3,34.8,24.3,75.0,Disable
3.64,432.2,12,41.4,33.8,20.0,25.0,Disable
1.97,240.1,8,6.3,44.8,26.8,100.0,Pause
2.49,217.7,11,34.0,43.3,20.0,10.0,Pause
1.51,207.7,8,11.6,41.4,28.5,50.0,Pause
3.06,319.8,12,29.2,24.3,54.0,25.0,Disable
0.42,90.0,3,19.2,27.0,41.5,10.0,Continue
1.85,130.0,7,47.9,41.1,54.4,75.0,Pause
1.5,127.8,8,62.2,40.6,54.3,75.0,Pause
3.28,207.3,14,77.6,28.1,48.2,25.0,Pause
6.21,408.1,26,18.6,43.4,43.4,50.0,Disable
1.93,204.4,8,51.9,40.6,42.5,50.0,Pause
3.71,397.1,14,72.6,47.8,44.8,50.0,Disable
6.07,542.4,21,15.7,53.4,26.4,25.0,Disable
1.5,234.8,7,51.7,36.4,54.9,10.0,Pause
8.06,628.1,29,68.5,75.0,50.0,100.0,Disable
3.43,274.6,15,82.9,46.2,57.4,75.0,Disable
0.24,145.3,0,83.0,39.7,65.3,100.0,Continue
1.04,50.0,4,75.3,21.7,60.4,75.0,Continue
0.41,102.7,4,32.4,25.2,46.0,50.0,Continue
6.62,498.9,28,6.4,66.7,43.3,25.0,Disable
0.37,64.0,2,24.1,21.5,33.7,10.0,Continue
6.05,446.3,24,25.7,72.7,36.8,25.0,Disable
1.04,160.1,5,87.3,42.0,63.7,50.0,Pause
0.07,62.2,2,87.6,24.7,44.3,75.0,Continue
7.95,595.0,28,34.8,66.1,46.1,25.0,Disable
0.27,50.0,4,57.9,25.2,44.9,10.0,Continue
0.56,158.0,6,73.3,47.5,39.3,75.0,Pause
0.05,74.1,1,81.3,36.5,54.5,50.0,Continue
0.06,54.2,0,28.4,28.2,46.0,75.0,Continue
3.8,389.1,14,51.2,47.5,38.2,50.0,Disable
0.6,75.8,3,36.8,15.0,24.6,10.0,Continue
0.7,80.7,5,32.0,23.6,39.6,25.0,Continue
1.62,243.5,7,92.8,29.0,62.4,10.0,Pause
0.15,185.5,4,16.2,34.2,26.8,50.0,Continue
2.67,188.1,11,69.1,33.6,37.8,75.0,Pause
2.08,250.8,13,26.1,35.4,35.5,100.0,Pause
2.26,205.7,9,14.2,33.9,21.8,25.0,Pause
9.39,598.2,36,13.3,85.6,33.9,75.0,Disable
1.59,278.4,7,80.2,30.0,53.3,25.0,Pause
0.13,95.7,0,18.9,23.8,38.0,25.0,Continue
3.48,316.2,16,11.2,51.3,42.8,50.0,Disable
2.1,50.7,10,25.2,24.7,21.7,100.0,Pause
0.74,53.1,4,31.7,22.4,36.0,10.0,Continue
2.21,256.6,9,49.9,30.5,48.4,100.0,Pause
1.75,176.7,7,90.0,23.4,62.0,50.0,Pause
0.99,110.0,4,56.3,36.2,43.6,50.0,Pause
3.88,299.5,15,63.2,69.2,56.0,100.0,Disable
0.86,186.8,6,94.5,36.4,56.8,50.0,Pause
0.05,63.4,1,93.3,31.8,53.0,10.0,Continue
0.17,210.7,1,77.5,48.9,56.1,75.0,Pause
2.02,298.0,9,24.4,44.7,46.9,100.0,Pause
1.78,171.3,7,44.4,43.4,56.8,10.0,Pause
1.93,181.1,8,6.2,23.6,20.0,25.0,Pause
0.73,139.5,5,81.2,17.8,66.8,10.0,Continue
0.12,91.4,0,87.9,15.6,42.9,10.0,Continue
0.44,50.0,3,71.5,19.1,55.7,25.0,Continue
2.45,281.6,8,27.3,33.1,39.7,25.0,Pause
0.29,54.5,1,91.7,28.2,58.4,50.0,Continue
0.73,98.0,3,14.1,33.0,20.0,10.0,Continue
0.56,225.7,1,10.6,50.9,25.4,100.0,Continue
3.85,223.2,14,11.9,33.6,25.3,100.0,Disable
0.87,208.5,8,85.5,43.6,56.2,100.0,Pause
3.49,316.6,15,54.0,38.3,47.0,100.0,Disable
0.19,78.0,1,57.5,24.7,54.7,50.0,Continue
0.34,137.7,4,68.1,24.2,68.2,50.0,Continue
2.68,308.9,10,77.0,26.5,74.4,10.0,Disable
0.73,265.8,4,34.9,36.2,33.1,10.0,Pause
2.4,265.5,12,30.4,48.2,51.8,100.0,Pause
2.32,210.4,10,51.5,40.9,33.3,25.0,Disable
1.63,124.1,9,89.0,27.9,61.7,100.0,Pause
1.39,208.3,6,26.8,33.4,38.1,50.0,Continue
1.07,169.0,6,9.9,25.3,44.3,10.0,Continue
6.61,494.4,24,57.6,42.1,47.3,75.0,Disable
0.1,50.0,2,38.4,15.0,36.7,10.0,Continue
2.23,262.8,8,82.6,38.4,70.0,50.0,Disable
1.54,209.0,7,56.5,53.0,60.3,25.0,Pause
0.76,149.7,7,21.3,48.2,35.9,50.0,Continue
0.19,56.4,2,50.5,32.0,42.6,75.0,Continue
2.2,218.9,9,74.4,31.7,50.0,75.0,Pause
5.28,302.5,19,33.1,50.0,35.1,75.0,Disable
3.02,369.3,11,90.2,64.1,64.6,25.0,Disable
5.12,437.2,18,92.2,61.0,70.1,100.0,Disable
0.21,128.2,1,56.9,33.3,37.2,50.0,Continue
0.69,121.6,5,93.1,24.6,42.3,100.0,Continue
0.22,95.8,3,92.0,32.6,84.8,25.0,Pause
0.63,234.0,5,10.6,37.5,39.0,25.0,Pause
4.95,393.7,19,28.9,49.9,40.1,100.0,Disable
3.62,215.0,13,41.3,42.5,32.0,50.0,Disable
6.62,619.3,29,42.5,63.9,44.3,75.0,Disable
9.49,635.7,34,65.5,72.3,54.6,10.0,Disable
1.33,222.8,6,71.9,50.8,55.1,75.0,Pause
0.45,131.8,1,6.5,21.7,22.3,25.0,Continue
3.07,264.2,11,29.4,37.8,41.3,25.0,Disable
4.37,402.4,18,89.8,44.3,60.2,50.0,Disable
0.05,70.2,1,20.8,15.0,40.5,75.0,Continue
7.42,678.9,29,49.4,77.4,32.6,50.0,Disable
1.61,241.7,6,81.4,37.2,63.7,50.0,Pause
4.81,401.4,18,84.5,66.0,75.2,100.0,Disable
7.15,465.4,25,30.7,52.7,42.7,10.0,Disable
2.75,285.1,11,75.3,43.3,68.2,25.0,Disable
0.23,101.6,3,40.7,36.9,34.0,25.0,Continue
4.88,433.9,21,12.3,73.6,46.3,50.0,Disable
6.17,359.6,22,15.8,45.8,31.8,50.0,Disable
2.1,162.7,7,83.4,32.9,53.7,100.0,Pause
4.62,497.2,16,43.0,63.8,45.7,25.0,Disable
6.77,498.1,24,83.8,76.3,64.1,75.0,Disable
0.53,212.0,3,63.6,45.8,51.1,25.0,Pause
2.62,325.4,9,49.7,29.3,37.3,25.0,Disable
4.8,495.0,21,22.6,61.6,23.9,100.0,Disable
0.43,189.0,4,92.4,48.0,63.0,25.0,Pause
5.38,413.3,19,93.6,49.9,63.6,100.0,Disable
0.85,227.0,5,88.4,39.1,59.5,100.0,Continue
1.2,169.4,5,68.4,32.9,42.9,10.0,Pause
0.71,141.8,4,85.6,40.9,53.5,100.0,Continue
6.3,369.4,23,90.6,43.4,59.7,100.0,Disable
1.6,125.6,7,22.6,25.9,29.0,75.0,Continue
2.18,249.6,8,23.0,35.5,35.5,75.0,Pause
0.63,177.4,4,71.1,61.7,45.9,75.0,Pause
1.02,232.1,4,30.4,39.4,29.3,10.0,Pause
2.0,245.2,8,6.6,50.2,24.9,75.0,Pause
1.74,112.7,8,41.4,18.4,54.6,100.0,Pause
7.68,666.9,27,74.3,81.1,58.4,50.0,Disable
0.05,50.0,1,62.4,15.0,39.7,10.0,Continue
2.28,255.6,10,43.6,30.4,32.5,100.0,Pause
6.47,428.7,26,44.0,57.9,53.7,50.0,Disable
0.61,50.0,4,90.6,25.2,66.1,100.0,Continue
1.93,183.9,8,61.7,40.8,58.9,25.0,Pause
1.78,192.7,10,72.9,42.3,50.8,50.0,Disable
1.97,191.2,7,25.0,51.1,32.0,75.0,Pause
0.1,50.0,2,36.3,15.0,44.4,100.0,Continue
1.74,302.1,7,16.3,49.9,20.0,100.0,Pause
